p,m,q,n,trials,trial,flops,GF/s,tmult,tcomm
1,256,256,256,10,0,33554432.00,5.13,6.547,48.045
1,256,256,256,10,1,33554432.00,5.15,6.512,10.427
1,256,256,256,10,2,33554432.00,5.14,6.527,8.912
1,256,256,256,10,3,33554432.00,5.15,6.519,10.898
1,256,256,256,10,4,33554432.00,5.15,6.519,8.523
1,256,256,256,10,5,33554432.00,5.15,6.512,8.157
1,256,256,256,10,6,33554432.00,5.15,6.518,8.348
1,256,256,256,10,7,33554432.00,5.15,6.520,8.337
1,256,256,256,10,8,33554432.00,5.15,6.519,8.196
1,256,256,256,10,9,33554432.00,5.14,6.523,8.104
1,1024,1024,1024,10,0,2147483648.00,5.17,415.069,73.534
1,1024,1024,1024,10,1,2147483648.00,5.17,415.163,34.179
1,1024,1024,1024,10,2,2147483648.00,5.17,414.974,30.253
1,1024,1024,1024,10,3,2147483648.00,5.17,415.154,43.413
1,1024,1024,1024,10,4,2147483648.00,5.17,415.101,40.875
1,1024,1024,1024,10,5,2147483648.00,5.18,414.968,35.700
1,1024,1024,1024,10,6,2147483648.00,5.17,414.994,38.733
1,1024,1024,1024,10,7,2147483648.00,5.17,415.025,33.075
1,1024,1024,1024,10,8,2147483648.00,5.18,414.900,46.248
1,1024,1024,1024,10,9,2147483648.00,5.17,415.132,34.467
1,4096,4096,4096,10,0,137438953472.00,5.63,24414.757,272.370
1,4096,4096,4096,10,1,137438953472.00,5.63,24411.045,215.695
1,4096,4096,4096,10,2,137438953472.00,5.63,24411.188,188.368
1,4096,4096,4096,10,3,137438953472.00,5.63,24400.850,242.688
1,4096,4096,4096,10,4,137438953472.00,5.63,24400.178,220.416
1,4096,4096,4096,10,5,137438953472.00,5.63,24403.135,212.252
1,4096,4096,4096,10,6,137438953472.00,5.63,24400.317,202.590
1,4096,4096,4096,10,7,137438953472.00,5.63,24412.484,217.464
1,4096,4096,4096,10,8,137438953472.00,5.63,24417.163,225.252
1,4096,4096,4096,10,9,137438953472.00,5.63,24401.428,231.672
4,256,256,256,10,0,33554432.00,4.27,7.853,56.785
4,256,256,256,10,1,33554432.00,4.12,8.141,17.218
4,256,256,256,10,2,33554432.00,4.29,7.821,17.036
4,256,256,256,10,3,33554432.00,4.44,7.557,17.843
4,256,256,256,10,4,33554432.00,4.29,7.817,17.668
4,256,256,256,10,5,33554432.00,4.29,7.815,17.458
4,256,256,256,10,6,33554432.00,4.44,7.561,17.124
4,256,256,256,10,7,33554432.00,4.44,7.557,20.401
4,256,256,256,10,8,33554432.00,4.29,7.819,17.004
4,256,256,256,10,9,33554432.00,4.28,7.839,22.476
4,1024,1024,1024,10,0,2147483648.00,5.51,389.614,142.704
4,1024,1024,1024,10,1,2147483648.00,5.55,386.594,84.041
4,1024,1024,1024,10,2,2147483648.00,5.47,392.453,89.267
4,1024,1024,1024,10,3,2147483648.00,5.51,389.583,73.646
4,1024,1024,1024,10,4,2147483648.00,5.51,389.630,88.265
4,1024,1024,1024,10,5,2147483648.00,5.51,389.448,95.925
4,1024,1024,1024,10,6,2147483648.00,5.51,389.460,78.574
4,1024,1024,1024,10,7,2147483648.00,5.51,389.545,83.672
4,1024,1024,1024,10,8,2147483648.00,5.47,392.300,70.396
4,1024,1024,1024,10,9,2147483648.00,5.51,389.635,70.435
4,4096,4096,4096,10,0,137438953472.00,5.67,24222.138,446.449
4,4096,4096,4096,10,1,137438953472.00,5.67,24221.050,393.043
4,4096,4096,4096,10,2,137438953472.00,5.68,24214.112,408.692
4,4096,4096,4096,10,3,137438953472.00,5.68,24216.415,404.819
4,4096,4096,4096,10,4,137438953472.00,5.68,24212.896,374.222
4,4096,4096,4096,10,5,137438953472.00,5.68,24214.875,375.659
4,4096,4096,4096,10,6,137438953472.00,5.66,24295.177,416.991
4,4096,4096,4096,10,7,137438953472.00,5.67,24218.809,362.559
4,4096,4096,4096,10,8,137438953472.00,5.66,24293.929,377.575
4,4096,4096,4096,10,9,137438953472.00,5.68,24215.100,375.393
16,256,256,256,10,0,33554432.00,4.78,7.015,96.166
16,256,256,256,10,1,33554432.00,4.76,7.050,54.381
16,256,256,256,10,2,33554432.00,5.13,6.538,51.138
16,256,256,256,10,3,33554432.00,5.13,6.538,55.787
16,256,256,256,10,4,33554432.00,5.01,6.693,45.944
16,256,256,256,10,5,33554432.00,5.09,6.597,36.217
16,256,256,256,10,6,33554432.00,5.15,6.514,35.472
16,256,256,256,10,7,33554432.00,5.15,6.517,42.554
16,256,256,256,10,8,33554432.00,4.95,6.772,38.305
16,256,256,256,10,9,33554432.00,5.13,6.535,37.891
16,1024,1024,1024,10,0,2147483648.00,5.62,381.935,249.639
16,1024,1024,1024,10,1,2147483648.00,5.62,381.857,209.700
16,1024,1024,1024,10,2,2147483648.00,5.62,381.841,202.399
16,1024,1024,1024,10,3,2147483648.00,5.62,381.889,184.438
16,1024,1024,1024,10,4,2147483648.00,5.62,381.881,194.731
16,1024,1024,1024,10,5,2147483648.00,5.62,381.875,196.595
16,1024,1024,1024,10,6,2147483648.00,5.62,381.915,190.106
16,1024,1024,1024,10,7,2147483648.00,5.62,381.879,182.364
16,1024,1024,1024,10,8,2147483648.00,5.62,381.870,203.843
16,1024,1024,1024,10,9,2147483648.00,5.62,381.856,192.435
