p,m,q,n,trials,trial,flops,GF/s,tmult,tcomm
1,256,256,256,10,0,33554432.00,10.57,3.174,33.541
1,256,256,256,10,1,33554432.00,9.44,3.553,6.823
1,256,256,256,10,2,33554432.00,11.93,2.812,7.151
1,256,256,256,10,3,33554432.00,9.89,3.393,6.950
1,256,256,256,10,4,33554432.00,10.94,3.067,6.845
1,256,256,256,10,5,33554432.00,9.74,3.446,6.857
1,256,256,256,10,6,33554432.00,10.85,3.092,6.903
1,256,256,256,10,7,33554432.00,9.83,3.412,6.862
1,256,256,256,10,8,33554432.00,10.80,3.106,6.907
1,256,256,256,10,9,33554432.00,10.43,3.216,7.060
1,1024,1024,1024,10,0,2147483648.00,19.20,111.861,64.095
1,1024,1024,1024,10,1,2147483648.00,19.33,111.068,32.727
1,1024,1024,1024,10,2,2147483648.00,19.38,110.793,32.651
1,1024,1024,1024,10,3,2147483648.00,19.35,110.954,32.295
1,1024,1024,1024,10,4,2147483648.00,19.30,111.249,32.411
1,1024,1024,1024,10,5,2147483648.00,19.32,111.133,32.349
1,1024,1024,1024,10,6,2147483648.00,19.27,111.470,35.031
1,1024,1024,1024,10,7,2147483648.00,19.25,111.559,32.862
1,1024,1024,1024,10,8,2147483648.00,19.24,111.623,33.098
1,1024,1024,1024,10,9,2147483648.00,19.28,111.362,33.068
1,4096,4096,4096,10,0,137438953472.00,18.67,7360.595,240.811
1,4096,4096,4096,10,1,137438953472.00,18.67,7361.375,209.749
1,4096,4096,4096,10,2,137438953472.00,18.66,7363.990,209.529
1,4096,4096,4096,10,3,137438953472.00,18.70,7347.915,209.601
1,4096,4096,4096,10,4,137438953472.00,18.66,7364.054,213.596
1,4096,4096,4096,10,5,137438953472.00,18.68,7358.749,210.710
1,4096,4096,4096,10,6,137438953472.00,18.67,7360.337,231.511
1,4096,4096,4096,10,7,137438953472.00,18.64,7372.709,209.613
1,4096,4096,4096,10,8,137438953472.00,18.68,7358.720,209.921
1,4096,4096,4096,10,9,137438953472.00,18.69,7354.923,209.374
1,16384,16384,16384,10,0,8796093022208.00,18.74,469334.205,1883.040
1,16384,16384,16384,10,1,8796093022208.00,18.74,469253.328,1840.113
1,16384,16384,16384,10,2,8796093022208.00,18.75,469097.573,1835.254
1,16384,16384,16384,10,3,8796093022208.00,18.76,468969.778,1836.125
1,16384,16384,16384,10,4,8796093022208.00,18.75,469081.555,1837.789
1,16384,16384,16384,10,5,8796093022208.00,18.75,469237.722,1840.227
1,16384,16384,16384,10,6,8796093022208.00,18.75,469158.179,1839.886
1,16384,16384,16384,10,7,8796093022208.00,18.73,469536.500,1842.989
1,16384,16384,16384,10,8,8796093022208.00,18.74,469466.729,1833.944
1,16384,16384,16384,10,9,8796093022208.00,18.74,469415.168,1838.507
4,256,256,256,10,0,33554432.00,6.86,4.888,45.843
4,256,256,256,10,1,33554432.00,7.91,4.244,15.732
4,256,256,256,10,2,33554432.00,7.59,4.419,15.339
4,256,256,256,10,3,33554432.00,7.54,4.450,15.294
4,256,256,256,10,4,33554432.00,7.63,4.398,15.267
4,256,256,256,10,5,33554432.00,7.86,4.270,15.309
4,256,256,256,10,6,33554432.00,8.13,4.129,15.340
4,256,256,256,10,7,33554432.00,8.20,4.094,15.816
4,256,256,256,10,8,33554432.00,8.42,3.987,15.631
4,256,256,256,10,9,33554432.00,8.84,3.795,15.447
4,1024,1024,1024,10,0,2147483648.00,19.07,112.598,112.910
4,1024,1024,1024,10,1,2147483648.00,19.17,112.035,76.958
4,1024,1024,1024,10,2,2147483648.00,19.38,110.784,76.921
4,1024,1024,1024,10,3,2147483648.00,19.14,112.171,77.665
4,1024,1024,1024,10,4,2147483648.00,19.12,112.303,75.360
4,1024,1024,1024,10,5,2147483648.00,19.19,111.931,75.655
4,1024,1024,1024,10,6,2147483648.00,19.22,111.736,75.669
4,1024,1024,1024,10,7,2147483648.00,19.16,112.102,76.018
4,1024,1024,1024,10,8,2147483648.00,19.32,111.151,79.775
4,1024,1024,1024,10,9,2147483648.00,19.27,111.444,76.082
4,4096,4096,4096,10,0,137438953472.00,18.81,7305.841,401.065
4,4096,4096,4096,10,1,137438953472.00,18.79,7315.377,371.468
4,4096,4096,4096,10,2,137438953472.00,18.80,7309.775,371.862
4,4096,4096,4096,10,3,137438953472.00,18.80,7309.002,373.680
4,4096,4096,4096,10,4,137438953472.00,18.79,7316.356,371.141
4,4096,4096,4096,10,5,137438953472.00,18.78,7318.391,371.608
4,4096,4096,4096,10,6,137438953472.00,18.79,7312.900,374.007
4,4096,4096,4096,10,7,137438953472.00,18.78,7318.446,371.042
4,4096,4096,4096,10,8,137438953472.00,18.79,7315.738,370.719
4,4096,4096,4096,10,9,137438953472.00,18.80,7311.155,375.091
4,16384,16384,16384,10,0,8796093022208.00,18.71,470148.127,2610.198
4,16384,16384,16384,10,1,8796093022208.00,18.66,471363.110,2595.256
4,16384,16384,16384,10,2,8796093022208.00,18.67,471144.760,2577.959
4,16384,16384,16384,10,3,8796093022208.00,18.66,471425.101,2565.404
4,16384,16384,16384,10,4,8796093022208.00,18.65,471705.838,2568.035
4,16384,16384,16384,10,5,8796093022208.00,18.68,470974.634,2562.550
4,16384,16384,16384,10,6,8796093022208.00,18.62,472376.012,2563.295
4,16384,16384,16384,10,7,8796093022208.00,18.62,472407.622,2563.187
4,16384,16384,16384,10,8,8796093022208.00,18.61,472564.487,2561.959
4,16384,16384,16384,10,9,8796093022208.00,18.65,471666.156,2566.993
16,256,256,256,10,0,33554432.00,3.53,9.498,70.884
16,256,256,256,10,1,33554432.00,4.08,8.221,39.445
16,256,256,256,10,2,33554432.00,4.20,7.988,39.258
16,256,256,256,10,3,33554432.00,4.03,8.335,42.849
16,256,256,256,10,4,33554432.00,4.30,7.800,39.254
16,256,256,256,10,5,33554432.00,4.17,8.048,39.605
16,256,256,256,10,6,33554432.00,4.04,8.307,40.020
16,256,256,256,10,7,33554432.00,4.38,7.653,39.252
16,256,256,256,10,8,33554432.00,4.21,7.977,39.796
16,256,256,256,10,9,33554432.00,4.07,8.245,39.882
16,1024,1024,1024,10,0,2147483648.00,17.55,122.347,211.720
16,1024,1024,1024,10,1,2147483648.00,17.63,121.829,180.067
16,1024,1024,1024,10,2,2147483648.00,17.76,120.920,182.307
16,1024,1024,1024,10,3,2147483648.00,17.69,121.427,179.887
16,1024,1024,1024,10,4,2147483648.00,17.78,120.801,180.750
16,1024,1024,1024,10,5,2147483648.00,17.78,120.807,180.999
16,1024,1024,1024,10,6,2147483648.00,17.68,121.495,180.556
16,1024,1024,1024,10,7,2147483648.00,17.68,121.470,180.759
16,1024,1024,1024,10,8,2147483648.00,17.70,121.304,180.742
16,1024,1024,1024,10,9,2147483648.00,17.72,121.164,183.922
16,4096,4096,4096,10,0,137438953472.00,18.88,7278.917,882.512
16,4096,4096,4096,10,1,137438953472.00,18.88,7281.030,850.403
16,4096,4096,4096,10,2,137438953472.00,18.87,7281.664,877.659
16,4096,4096,4096,10,3,137438953472.00,18.87,7285.073,890.927
16,4096,4096,4096,10,4,137438953472.00,18.86,7285.604,856.686
16,4096,4096,4096,10,5,137438953472.00,18.87,7284.432,852.884
16,4096,4096,4096,10,6,137438953472.00,18.87,7285.174,850.480
16,4096,4096,4096,10,7,137438953472.00,18.87,7283.724,851.111
16,4096,4096,4096,10,8,137438953472.00,18.87,7284.710,851.065
16,4096,4096,4096,10,9,137438953472.00,18.87,7283.580,854.397
16,16384,16384,16384,10,0,8796093022208.00,18.60,472824.807,4353.899
16,16384,16384,16384,10,1,8796093022208.00,18.53,474809.466,4334.341
16,16384,16384,16384,10,2,8796093022208.00,18.47,476188.765,4334.950
16,16384,16384,16384,10,3,8796093022208.00,18.45,476737.138,4335.962
16,16384,16384,16384,10,4,8796093022208.00,18.45,476641.390,4331.699
16,16384,16384,16384,10,5,8796093022208.00,18.46,476434.049,4335.503
16,16384,16384,16384,10,6,8796093022208.00,18.47,476136.103,4329.421
16,16384,16384,16384,10,7,8796093022208.00,18.47,476292.549,4323.870
16,16384,16384,16384,10,8,8796093022208.00,18.47,476256.843,4329.261
16,16384,16384,16384,10,9,8796093022208.00,18.47,476327.835,4338.215
64,256,256,256,10,0,33554432.00,1.77,18.912,148.444
64,256,256,256,10,1,33554432.00,1.82,18.447,115.803
64,256,256,256,10,2,33554432.00,1.88,17.801,119.658
64,256,256,256,10,3,33554432.00,1.83,18.302,115.580
64,256,256,256,10,4,33554432.00,1.87,17.982,116.587
64,256,256,256,10,5,33554432.00,1.85,18.122,115.229
64,256,256,256,10,6,33554432.00,1.81,18.535,115.332
64,256,256,256,10,7,33554432.00,1.81,18.550,114.745
64,256,256,256,10,8,33554432.00,1.80,18.596,115.419
64,256,256,256,10,9,33554432.00,1.85,18.165,115.860
64,1024,1024,1024,10,0,2147483648.00,15.32,140.198,557.593
64,1024,1024,1024,10,1,2147483648.00,15.34,140.027,525.698
64,1024,1024,1024,10,2,2147483648.00,15.29,140.455,524.247
64,1024,1024,1024,10,3,2147483648.00,15.60,137.637,527.871
64,1024,1024,1024,10,4,2147483648.00,15.39,139.533,525.836
64,1024,1024,1024,10,5,2147483648.00,15.26,140.748,523.921
64,1024,1024,1024,10,6,2147483648.00,15.41,139.352,525.759
64,1024,1024,1024,10,7,2147483648.00,15.31,140.289,525.756
64,1024,1024,1024,10,8,2147483648.00,15.20,141.251,523.786
64,1024,1024,1024,10,9,2147483648.00,15.37,139.705,525.610
64,4096,4096,4096,10,0,137438953472.00,18.88,7278.748,2318.208
64,4096,4096,4096,10,1,137438953472.00,18.87,7285.263,2279.123
64,4096,4096,4096,10,2,137438953472.00,18.86,7285.457,2289.958
64,4096,4096,4096,10,3,137438953472.00,18.87,7284.894,2295.551
64,4096,4096,4096,10,4,137438953472.00,18.85,7290.433,2318.945
64,4096,4096,4096,10,5,137438953472.00,18.85,7290.350,2283.373
64,4096,4096,4096,10,6,137438953472.00,18.85,7290.639,2281.742
64,4096,4096,4096,10,7,137438953472.00,18.84,7293.256,2285.362
64,4096,4096,4096,10,8,137438953472.00,18.85,7291.496,2281.562
64,4096,4096,4096,10,9,137438953472.00,18.85,7289.871,2288.450
64,16384,16384,16384,10,0,8796093022208.00,18.49,475670.202,10302.685
64,16384,16384,16384,10,1,8796093022208.00,18.50,475550.309,10417.991
64,16384,16384,16384,10,2,8796093022208.00,18.50,475365.156,11032.663
64,16384,16384,16384,10,3,8796093022208.00,18.51,475101.305,11436.059
64,16384,16384,16384,10,4,8796093022208.00,18.52,475022.673,10790.816
64,16384,16384,16384,10,5,8796093022208.00,18.50,475370.554,10752.418
64,16384,16384,16384,10,6,8796093022208.00,18.50,475551.784,10751.168
64,16384,16384,16384,10,7,8796093022208.00,18.52,474985.936,10731.037
64,16384,16384,16384,10,8,8796093022208.00,18.52,474938.268,10755.639
64,16384,16384,16384,10,9,8796093022208.00,18.52,474894.851,10734.748
256,256,256,256,10,0,33554432.00,0.76,44.175,415.881
256,256,256,256,10,1,33554432.00,0.74,45.553,379.924
256,256,256,256,10,2,33554432.00,0.72,46.765,378.619
256,256,256,256,10,3,33554432.00,0.74,45.295,381.316
256,256,256,256,10,4,33554432.00,0.74,45.505,379.374
256,256,256,256,10,5,33554432.00,0.77,43.838,381.146
256,256,256,256,10,6,33554432.00,0.73,46.037,379.013
256,256,256,256,10,7,33554432.00,0.76,44.293,381.000
256,256,256,256,10,8,33554432.00,0.74,45.151,379.242
256,256,256,256,10,9,33554432.00,0.75,44.979,381.539
256,1024,1024,1024,10,0,2147483648.00,9.11,235.768,1789.958
256,1024,1024,1024,10,1,2147483648.00,9.15,234.626,1757.233
256,1024,1024,1024,10,2,2147483648.00,9.19,233.730,1758.544
256,1024,1024,1024,10,3,2147483648.00,9.07,236.655,1757.397
256,1024,1024,1024,10,4,2147483648.00,9.06,236.913,1758.445
256,1024,1024,1024,10,5,2147483648.00,9.08,236.569,1758.814
256,1024,1024,1024,10,6,2147483648.00,9.05,237.294,1755.460
256,1024,1024,1024,10,7,2147483648.00,9.03,237.861,1755.761
256,1024,1024,1024,10,8,2147483648.00,9.05,237.296,1757.147
256,1024,1024,1024,10,9,2147483648.00,9.09,236.195,1756.286
256,4096,4096,4096,10,0,137438953472.00,19.29,7124.366,7385.469
256,4096,4096,4096,10,1,137438953472.00,19.20,7157.866,7347.693
256,4096,4096,4096,10,2,137438953472.00,19.13,7184.151,7350.332
256,4096,4096,4096,10,3,137438953472.00,19.01,7228.264,7351.287
256,4096,4096,4096,10,4,137438953472.00,18.99,7237.379,7347.009
256,4096,4096,4096,10,5,137438953472.00,18.98,7242.485,7355.906
256,4096,4096,4096,10,6,137438953472.00,18.88,7280.266,7351.560
256,4096,4096,4096,10,7,137438953472.00,18.75,7328.155,7351.183
